date,day_index,vix,vix_change,realized_vol_20d,rv_change,regime,term_slope,avg_correlation,corr_change,vega_pnl,gamma_pnl,theta_pnl,correlation_pnl,total_pnl,strategy_pnl,net_vega,net_gamma,net_delta,net_theta,gross_notional,cumulative_pnl,peak_pnl,drawdown,drawdown_pct,vega_within_bounds,notional_within_cap,num_positions,active_strategies
2024-01-26,0,18.0,0.0,0.0,0.0,CRISIS,-0.027,-0.0005233945632485841,0.0,0.0,0.0,-1750.0,0.0,-1750.0,"{'Dispersion Trading': 0.0, 'Volatility Harvesting': 0.0, 'Directional Long/Short Volatility': 0.0, 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': -1750.0}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,-1750.0,0.0,1750.0,7e-06,True,True,8,2
2024-01-29,1,18.12,0.120000000000001,0.0,0.0,TRANSITIONAL,0.0263,-5.9594760622855105e-05,0.000463799802625729,7500.0012000000615,0.0,-1750.0,-6956.997039385935,-1206.9958393858733,"{'Dispersion Trading': np.float64(-6956.997039385935), 'Volatility Harvesting': np.float64(0.0), 'Directional Long/Short Volatility': np.float64(0.0), 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': np.float64(5750.0012000000615)}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,-2956.9958393858733,0.0,2956.9958393858733,1.1827983357543493e-05,True,True,8,2
2024-01-30,2,18.0,-0.120000000000001,0.0,0.0,TRANSITIONAL,0.0106,-0.0009480568916341222,-0.0008884621310112671,-7500.0012000000615,0.0,-1750.0,13326.931965169006,4076.930765168945,"{'Dispersion Trading': np.float64(13326.931965169006), 'Volatility Harvesting': np.float64(0.0), 'Directional Long/Short Volatility': np.float64(0.0), 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': np.float64(-9250.00120000006)}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,1119.9349257830718,1119.9349257830718,0.0,0.0,True,True,8,2
2024-01-31,3,17.71,-0.28999999999999915,0.0,0.0,TRANSITIONAL,0.0359,-0.0010968353224677884,-0.00014877843083366618,-18125.002899999945,0.0,-1750.0,2231.6764625049927,-17643.32643749495,"{'Dispersion Trading': np.float64(2231.6764625049927), 'Volatility Harvesting': np.float64(0.0), 'Directional Long/Short Volatility': np.float64(0.0), 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': np.float64(-19875.002899999945)}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,-16523.391511711878,1119.9349257830718,17643.32643749495,7.057330574997981e-05,True,True,8,2
2024-02-01,4,17.59,-0.120000000000001,0.0,0.0,TRANSITIONAL,0.0252,-0.002224864586728113,-0.0011280292642603248,-7500.0012000000615,0.0,-1750.0,16920.43896390487,7670.437763904811,"{'Dispersion Trading': np.float64(16920.43896390487), 'Volatility Harvesting': np.float64(0.0), 'Directional Long/Short Volatility': np.float64(0.0), 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': np.float64(-9250.00120000006)}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,-8852.953747807067,1119.9349257830718,9972.88867359014,3.989155469436056e-05,True,True,8,2
2024-02-02,5,17.65,0.05999999999999872,0.0,0.0,TRANSITIONAL,0.0427,-0.0015314201505119839,0.0006934444362161293,3750.00059999992,0.0,-1750.0,-10401.66654324194,-8401.66594324202,"{'Dispersion Trading': np.float64(-10401.66654324194), 'Volatility Harvesting': np.float64(0.0), 'Directional Long/Short Volatility': np.float64(0.0), 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': np.float64(2000.0005999999198)}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,-17254.619691049087,1119.9349257830718,18374.55461683216,7.349821846732864e-05,True,True,8,2
2024-02-05,6,17.98,0.33000000000000185,0.0,0.0,TRANSITIONAL,0.0303,-0.0008814152226405451,0.0006500049278714388,20625.003300000113,0.0,-1750.0,-9750.073918071581,9124.929381928532,"{'Dispersion Trading': np.float64(-9750.073918071581), 'Volatility Harvesting': np.float64(0.0), 'Directional Long/Short Volatility': np.float64(0.0), 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': np.float64(18875.003300000113)}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,-8129.690309120555,1119.9349257830718,9249.625234903626,3.6998500939614504e-05,True,True,8,2
2024-02-06,7,17.53,-0.4499999999999993,0.0,0.0,TRANSITIONAL,0.0047,-0.0014189682816242726,-0.0005375530589837275,-28125.00449999995,0.0,-1750.0,8063.295884755912,-21811.70861524404,"{'Dispersion Trading': np.float64(8063.295884755912), 'Volatility Harvesting': np.float64(0.0), 'Directional Long/Short Volatility': np.float64(0.0), 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': np.float64(-29875.00449999995)}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,-29941.398924364592,1119.9349257830718,31061.333850147665,0.00012424533540059067,True,True,8,2
2024-02-07,8,17.63,0.09999999999999787,0.0,0.0,TRANSITIONAL,0.0047,-0.0003025015922913432,0.0011164666893329293,6250.0009999998665,0.0,-1750.0,-16747.000339993938,-12246.999339994072,"{'Dispersion Trading': np.float64(-16747.000339993938), 'Volatility Harvesting': np.float64(0.0), 'Directional Long/Short Volatility': np.float64(0.0), 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': np.float64(4500.0009999998665)}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,-42188.398264358664,1119.9349257830718,43308.33319014173,0.00017323333276056694,True,True,8,2
2024-02-08,9,17.84,0.21000000000000085,0.0,0.0,TRANSITIONAL,0.0052,-0.0006592010061250093,-0.00035669941383366616,13125.002100000052,0.0,-1750.0,5350.491207504992,16725.493307505043,"{'Dispersion Trading': np.float64(5350.491207504992), 'Volatility Harvesting': np.float64(0.0), 'Directional Long/Short Volatility': np.float64(0.0), 'Dynamic Volatility Targeting': np.float64(0.0), 'Option Overlay': np.float64(11375.002100000052)}",62500.009999999995,4124.99,250000.00000000006,-1750.0,325000000.0,-25462.90495685362,1119.9349257830718,26582.839882636694,0.00010633135953054678,True,True,8,2
